name,passed,message,detail
health-endpoint,True,"status=200 body={""status"":""ok""}",
create-session,True,session_id=8eb8ae70-d437-4775-a...,
chat-Nhân viên dưới 5 năm có bao nhiêu n,True,"query_type=LOCAL, sources=7, contains='12': ✓",
chat-Nhân viên từ 5 đến dưới 10 năm thâm,False,"query_type=LOCAL, sources=5, contains='14': ✗","Reply excerpt: Xin lỗi, tôi không tìm thấy thông tin đủ chính xác trong tài liệu nội quy để trả lời câu hỏi này. Vui lòng liên hệ bộ phận Nhân sự để được hỗ trợ thêm."
chat-Nhân viên trên 10 năm thâm niên đượ,True,"query_type=LOCAL, sources=7, contains='16': ✓",
chat-Phép năm còn dư có thể chuyển tối đ,True,"query_type=LOCAL, sources=6, contains='5 ngày': ✓",
chat-Nhân viên được nghỉ ốm có lương tối,True,"query_type=LOCAL, sources=7, contains='10 ngày': ✓",
chat-Nhân viên nữ được nghỉ thai sản bao,True,"query_type=LOCAL, sources=7, contains='6 tháng': ✓",
chat-Bản thân nhân viên kết hôn được ngh,True,"query_type=LOCAL, sources=7, contains='3 ngày': ✓",
chat-Quy trình xin nghỉ đột xuất cần làm,False,"query_type=LOCAL, sources=6, contains='HRM': ✗","Reply excerpt: Xin lỗi, tôi không tìm thấy thông tin đủ chính xác trong tài liệu nội quy để trả lời câu hỏi này. Vui lòng liên hệ bộ phận Nhân sự để được hỗ trợ thêm."
chat-Làm thêm giờ vào ngày lễ được tính ,True,"query_type=LOCAL, sources=7, contains='300': ✓",
chat-Phòng Kỹ thuật được phép mặc gì vào,True,"query_type=LOCAL, sources=7, contains='casual': ✓",
chat-Chính sách Casual Friday cho phép n,True,"query_type=LOCAL, sources=7, contains='jeans': ✓",
chat-Nhân viên vi phạm quy định trang ph,True,"query_type=LOCAL, sources=8, contains='cảnh báo': ✓",
chat-Mức phụ cấp ăn trưa là bao nhiêu?,True,"query_type=LOCAL, sources=6, contains='50.000': ✓",
chat-Thưởng cuối năm xếp loại Xuất sắc đ,True,"query_type=LOCAL, sources=6, contains='3': ✓",
chat-Nhân viên giới thiệu ứng viên Senio,True,"query_type=LOCAL, sources=6, contains='5.000.000': ✓",
chat-Phòng Kỹ thuật làm remote tối đa mấ,True,"query_type=LOCAL, sources=6, contains='3': ✓",
chat-Phòng Kinh doanh có được phép làm v,True,"query_type=LOCAL, sources=7, contains='không áp dụng': ✓",
"chat-Trong giờ cốt lõi khi làm remote, n",False,"query_type=LOCAL, sources=6, contains='15 phút': ✗","Reply excerpt: Xin lỗi, tôi không tìm thấy thông tin đủ chính xác trong tài liệu nội quy để trả lời câu hỏi này. Vui lòng liên hệ bộ phận Nhân sự để được hỗ trợ thêm."
chat-Câu hỏi hoàn toàn không liên quan đ,False,"query_type=LOCAL, sources=8, contains='Nhân sự': ✗","Reply excerpt: Chào bạn,

Mình là trợ lý AI chuyên về nội quy và chính sách của Công ty Agentic House, nên mình chỉ có thể cung cấp thông tin liên quan đến các quy định của công ty thôi. Mình không có khả năng cung "
delete-session,True,status=200,
